split,expert,temperature,single_group_macro_f1,ece_before,ece_after,mean_max_p_before,mean_max_p_after,entropy_before,entropy_after
0,color,0.8021287705474542,95.63754789674988,0.024601931499545926,0.008116256040820807,0.9381205275260762,0.9581583307076921,0.2250456325210596,0.13917267702774452
0,texture,0.9152530965076012,62.258165403359214,0.030421027791690397,0.026826988911125615,0.6787586144136458,0.7053647943496356,0.9817769156139362,0.887189065705135
0,shape,0.9454106440524899,36.84407360191029,0.024029409932105325,0.01896794581736508,0.4151941361133515,0.43442203880747543,1.761155681144917,1.698357870956596
1,color,0.8213634928971221,95.66188784034632,0.01658167444535632,0.007315432667221975,0.9453259023148598,0.9621457358182394,0.2033010251267675,0.13018006089012882
1,texture,0.9166400566992629,64.03663482236225,0.030146455709987714,0.01692421558152309,0.6848415215931408,0.7109382665767213,0.9689522634946635,0.8757141825955727
1,shape,0.9424318085006287,37.09485117510681,0.026216435433486084,0.020942519002395157,0.4202216518482651,0.44063658625311436,1.7479962853215532,1.6813393779284254
2,color,0.8071519460029168,95.15908950694273,0.019836439552724794,0.00920342484559654,0.9389453958152589,0.9577190000165504,0.21894065692390766,0.13812871871858032
2,texture,0.9061513789797356,63.482240080042295,0.03591767311473629,0.020248572354767475,0.6862825956923666,0.7155066928965349,0.9600849746611062,0.8554459664599904
2,shape,0.9482626486246256,37.42911368122212,0.028701882520357033,0.031762100019024304,0.4194831091685807,0.4377590486410797,1.751252004847201,1.6913865621567938
3,color,0.7875434187027701,95.17390020053207,0.020866058150835566,0.006132658948637927,0.9383554780426575,0.9589761354629782,0.22139467982258632,0.13304877246138572
3,texture,0.8923950482599141,62.39805897907159,0.031825179194759426,0.01843649160650844,0.675823250318006,0.709480343112618,0.9858345263505663,0.8662409330108229
3,shape,0.9230544649944714,36.62048632189245,0.027706270450807126,0.025831613044830583,0.41608263470847673,0.4440041767927937,1.7654686413181577,1.6749803241774481
4,color,0.7874821923999246,95.3470490974812,0.018636272511593603,0.006067410078798652,0.9409890504858225,0.9612042661181609,0.21467903463595012,0.12682662487562868
4,texture,0.9074290440251099,63.643180320763506,0.038558125502494836,0.01836081392572944,0.674407000743147,0.7036619064415339,0.9994327325508603,0.8949412205875504
4,shape,0.9579172260509337,35.80688325713518,0.03248384208787715,0.026593172811331445,0.4188294267336276,0.4337612668948807,1.7574082063393717,1.7087089783909042
5,color,0.805119461488591,95.02058868584804,0.017942507331907675,0.012776726175024372,0.9410368208334671,0.9603170897575061,0.21683785798277055,0.134436208767342
5,texture,0.9133654550940918,64.27860723386847,0.04088740428743365,0.0214302303930828,0.678100442631809,0.7055856864098378,0.9874786908536106,0.8897756823564322
5,shape,0.9211437188912917,37.006886636844534,0.0279776379437958,0.03770699003990484,0.421363053153335,0.45018301980048475,1.7545485101570328,1.660637537907199
6,color,0.8027180737755519,94.99866591949167,0.01956442662679582,0.010155525675530826,0.9436733592288961,0.9618667479108544,0.20455426534839968,0.1259403822829992
6,texture,0.884966422064025,64.8874943588613,0.029248209809119515,0.01958041912865628,0.6883019217736518,0.72436179816488,0.9606360298221956,0.8326277759627054
6,shape,0.9052837411242577,37.642573783870695,0.022403165464507734,0.02782065254020063,0.41405172512585003,0.448442987895238,1.7661784849409143,1.6542438625854372
7,color,0.8000009517287923,96.18267774173933,0.02057223508814371,0.00460091743565058,0.9437338333101565,0.9623642036492439,0.2075813143394199,0.1256684051726414
7,texture,0.9152564613320454,63.259543573274456,0.03881922632018216,0.016924525631560636,0.6761717240429975,0.7030275527412954,0.9905539592298988,0.895181383053965
7,shape,0.9355278673297112,38.24690300035584,0.036533416759501766,0.029256234517529702,0.4175311707890654,0.4406455842182636,1.7577197217223985,1.6828254280171207
8,color,0.8503960191815917,95.61707676929493,0.02019490614236523,0.008215122100048246,0.9422492588234929,0.9570577789683247,0.211189313138005,0.14703337239458128
8,texture,0.9020587071380939,63.72035622247788,0.0214759316421184,0.026461894454127995,0.681625920100702,0.7120885143551715,0.9700876642652594,0.8614363564893924
8,shape,0.9575203341905046,35.965359500990395,0.017792751105125935,0.023871243686192516,0.41875430898848826,0.4337360618382795,1.7553404920185787,1.7065913358067193
9,color,0.7762866218275439,95.56680143421535,0.01689473960449584,0.011276901266739425,0.9434740897620518,0.964182968077219,0.2068579833089021,0.11745674460208864
9,texture,0.9112417060207413,63.37539026007898,0.03795193244164434,0.01869924388547899,0.682310215061792,0.7103219713156081,0.9744606875825184,0.8742760173830105
9,shape,0.9512464553174078,37.18227242097133,0.03994406867730645,0.025188709593612465,0.4207617676632129,0.4380443073945426,1.7505762788176762,1.6939572040259412
