alpha_color,alpha_texture,alpha_shape,val_macro_f1,raw_matches_ablation,effective_matches_ablation
0.3374252443136454,0.3278789386574905,0.33469581702886425,95.67683342115035,False,True
0.153826757321326,0.04752200237517985,0.7986512403034942,66.86646885123557,False,False
0.30561290873637553,0.6771998531045291,0.01718723815909506,85.24834413997965,False,False
0.4744111457987378,0.031929122061228776,0.49365973214003334,96.2992349504701,False,False
0.5168437819447825,0.11549761749148135,0.367658600563736,96.63934686148662,False,False
0.27433559260252716,0.1633762913464699,0.5622881160510029,92.54374393281927,False,False
0.35181512905761214,0.1612234841413615,0.48696138680102646,95.79296780153575,False,False
0.06798460218388128,0.5588858786696905,0.3731295191464282,73.10099369028464,False,False
0.4296914286681301,0.27328397952715144,0.2970245918047186,96.3702839842414,False,True
0.08182028075583218,0.1906863713457953,0.7274933478983725,66.98443480796202,False,False
0.16459892573730442,0.5353683344459704,0.3000327398167254,81.46006187008452,False,False
0.1774835047450226,0.34394817650208637,0.47856831875289085,86.72861406482943,False,False
0.22259495626754486,0.20840273858252764,0.5690023051499276,89.87593702113391,False,False
0.09827763374718669,0.44140208937423026,0.460320276878583,78.45093619973615,False,False
0.4731551018766023,0.03187370129831294,0.4949711968250848,96.2992349504701,False,False
0.49133828176948957,0.40706311080688135,0.10159860742362907,96.09898455213988,True,True
0.38159643518939035,0.1970617000376518,0.42134186477295776,96.44227163097526,False,False
0.014059867827037595,0.11130728111449877,0.8746328510584637,45.20962494160094,False,False
0.8250011701476636,0.11635333941565609,0.05864549043668041,95.92616077425586,True,True
0.44755473874399687,0.4065817258539607,0.14586353540204244,96.0262795123352,True,True
0.2730853906774362,0.34682498317593513,0.3800896261466288,93.80812089184822,False,True
0.585988654891694,0.23248705193200364,0.18152429317630236,96.63250027973478,True,True
0.6209524452286505,0.3525944931576355,0.026453061613714093,96.25267909372943,True,True
0.30998675917067064,0.2013589466278729,0.48865429420145645,95.07727101240513,False,False
0.8415568968176128,0.13779811802080005,0.020644985161587148,95.9618342673265,True,True
0.21510929428016398,0.5939133211022554,0.19097738461758051,83.34491791742012,False,False
