split,baseline_accuracy,baseline_macro_f1,support_vectors,error_auroc,coverage_95,accuracy_95,macro_f1_95,errors_deferred_95,coverage_90,accuracy_90,macro_f1_90,errors_deferred_90,fusion_macro_f1,uniform_macro_f1,alpha_color,share_color,alpha_texture,share_texture,alpha_shape,share_shape
0,97.25452196382429,97.02888136067347,5469,0.9573329165608455,95.38113695090439,99.08567558415172,99.18090228975377,68.23529411764706,90.37467700258398,99.39242315939957,99.44538145319423,80.0,96.24146502463414,95.54517668177141,0.5029629094114328,68.24938312000741,0.2575361413705806,21.890239480208912,0.23950094921798643,9.860377399783665
1,97.28682170542635,97.16199418578168,5534,0.961633624233226,95.5749354005168,98.9861439675566,99.00167821949827,64.28571428571429,90.72997416020672,99.6440014239943,99.61245382920933,88.09523809523809,95.96605628925644,95.43004184227797,0.3805217775615367,59.84682098943571,0.20337828180080178,20.29369670023285,0.4160999406376614,19.85948231033144
2,96.57622739018088,96.09163236857961,5522,0.9518079131696852,94.67054263565892,98.77175025588537,98.70703645992475,66.0377358490566,90.50387596899225,99.32191291934332,99.13129051357319,82.0754716981132,95.35630729266576,94.85729280930504,0.5523136793380856,68.31909836547685,0.3551972840661083,28.171719531808588,0.092489036595806,3.509182102714556
3,97.3514211886305,96.8531461427728,5486,0.953457037888229,94.86434108527132,98.87640449438202,98.55245350887355,59.756097560975604,90.01937984496125,99.56942949407966,99.28319586679777,85.36585365853658,95.96686798899654,95.39483705439534,0.4255349847644094,62.53225712750413,0.2488489706098637,22.9825955638473,0.32561604462572696,14.485147308648564
4,97.44832041343669,97.24912216772027,5471,0.9578758344067164,94.92894056847545,99.01326981966655,98.8888047586761,63.29113924050633,90.08397932816537,99.5338831122266,99.5446910823118,83.54430379746836,96.48305778661287,95.72280304284213,0.4492827136133704,64.55719348829942,0.2464385804594626,22.30776282244688,0.30427870592716716,13.135043689253695
5,96.64082687338501,96.2778576510824,5476,0.9545229586589881,95.02583979328165,98.47042828008158,98.23527526881493,56.730769230769226,90.85917312661499,99.18236757909705,99.03268648261262,77.88461538461539,95.7911028860401,94.99734652618488,0.4492827136133704,64.32780517321456,0.2464385804594626,22.27720894478343,0.30427870592716716,13.394985882002034
6,97.22222222222221,96.74645016365993,5574,0.9546048056864715,94.76744186046511,98.97750511247445,98.69683200156503,65.11627906976744,90.01937984496125,99.56942949407966,99.18117118109812,86.04651162790698,94.94773877594162,94.00309602827508,0.48436057980559544,62.82166899206789,0.38737256079441984,32.166616752940314,0.12826685939998464,5.0117142549917775
7,97.31912144702842,97.01022244165488,5518,0.9530148473082505,95.60723514211887,98.9527027027027,98.83132062468466,62.65060240963856,91.66666666666666,99.36575052854123,99.37173484559054,78.3132530120482,96.99980204050279,96.47414942998884,0.4286420753335595,63.421055373169125,0.22477428701717583,20.790861394688214,0.34658363764926453,15.788083232142672
8,97.48062015503875,97.03264649696747,5489,0.9489430935753003,94.70284237726099,99.01091405184175,98.86963512912523,62.82051282051282,90.37467700258398,99.53538241601144,99.22762231267535,83.33333333333334,96.2539456934677,94.79114641350837,0.5431266433218399,74.04062508404542,0.1607502167734574,13.705352536562476,0.2961231399047029,12.254022379392106
9,97.38372093023256,97.07494251346165,5442,0.9482996539934074,94.99354005167959,98.97993879632779,98.58047992367057,62.96296296296296,90.63307493540051,99.39415538132573,99.28655550578989,79.01234567901234,96.27216769171612,95.85722718989534,0.43581614119064804,61.70447976131156,0.2911502336487232,26.230246809037638,0.27303362516062885,12.065273429650794
